make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign
Plym. Arrow,"4,647",28,3,2,11,"3,260",170,37,156,3.05,Domestic
Plym. Champ,"4,425",34,5,3,11,"1,800",157,37,86,2.97,Domestic
Plym. Horizon,"4,482",25,3,4,17,"2,200",165,36,105,3.37,Domestic
Plym. Sapporo,"6,486",26,,2,8,"2,520",182,38,119,3.54,Domestic
Plym. Volare,"4,060",18,2,5,16,"3,330",201,44,225,3.23,Domestic
Pont. Catalina,"5,798",18,4,4,20,"3,700",214,42,231,2.73,Domestic
Pont. Firebird,"4,934",18,1,2,7,"3,470",198,42,231,3.08,Domestic
Pont. Grand Prix,"5,222",19,3,2,16,"3,210",201,45,231,2.93,Domestic
Pont. Le Mans,"4,723",19,3,4,17,"3,200",199,40,231,2.93,Domestic
Pont. Phoenix,"4,424",19,,4,13,"3,420",203,43,231,3.08,Domestic
Pont. Sunbird,"4,172",24,2,2,7,"2,690",179,41,151,2.73,Domestic
Audi 5000,"9,690",17,5,3,15,"2,830",189,37,131,3.20,Foreign
Audi Fox,"6,295",23,3,3,11,"2,070",174,36,97,3.70,Foreign
BMW 320i,"9,735",25,4,3,12,"2,650",177,34,121,3.64,Foreign
Datsun 200,"6,229",23,4,2,6,"2,370",170,35,119,3.89,Foreign
Datsun 210,"4,589",35,5,2,8,"2,020",165,32,85,3.70,Foreign
Datsun 510,"5,079",24,4,3,8,"2,280",170,34,119,3.54,Foreign
Datsun 810,"8,129",21,4,3,8,"2,750",184,38,146,3.55,Foreign
Fiat Strada,"4,296",21,3,3,16,"2,130",161,36,105,3.37,Foreign
Honda Accord,"5,799",25,5,3,10,"2,240",172,36,107,3.05,Foreign
Honda Civic,"4,499",28,4,3,5,"1,760",149,34,91,3.30,Foreign
Mazda GLC,"3,995",30,4,4,11,"1,980",154,33,86,3.73,Foreign
Peugeot 604,"12,990",14,,4,14,"3,420",192,38,163,3.58,Foreign
Renault Le Car,"3,895",26,3,3,10,"1,830",142,34,79,3.72,Foreign
Subaru,"3,798",35,5,3,11,"2,050",164,36,97,3.81,Foreign
Toyota Celica,"5,899",18,5,3,14,"2,410",174,36,134,3.06,Foreign
Toyota Corolla,"3,748",31,5,3,9,"2,200",165,35,97,3.21,Foreign
Toyota Corona,"5,719",18,5,2,11,"2,670",175,36,134,3.05,Foreign
VW Dasher,"7,140",23,4,3,12,"2,160",172,36,97,3.74,Foreign
VW Diesel,"5,397",41,5,3,15,"2,040",155,35,90,3.78,Foreign
VW Rabbit,"4,697",25,4,3,15,"1,930",155,35,89,3.78,Foreign
VW Scirocco,"6,850",25,4,2,16,"1,990",156,36,97,3.78,Foreign
Volvo 260,"11,995",17,5,3,14,"3,170",193,37,163,2.98,Foreign
